"gender","age","nsubj","trial_number","card_selected","rt_cardselection","win","loss","net_gain","totalcash_by_trial","confidence","rt_confidence","adv_choice","block"
"f",54,3,79,"B",3119,100,0,100,500,4,2389,0,4
"f",54,3,80,"D",2644,50,0,50,550,4,1917,1,4
"f",54,3,81,"D",2363,50,0,50,600,4,2107,1,5
"f",54,3,82,"D",1968,50,0,50,650,4,2149,1,5
"f",54,3,83,"D",2452,50,0,50,700,4,2472,1,5
"f",54,3,84,"D",2351,50,0,50,750,4,2361,1,5
"f",54,3,85,"D",1696,50,0,50,800,4,645,1,5
"f",54,3,86,"D",2786,50,0,50,850,4,2209,1,5
"f",54,3,87,"D",2060,50,0,50,900,4,2058,1,5
"f",54,3,88,"D",2040,50,-250,-200,700,4,2037,1,5
"f",54,3,89,"D",2494,50,0,50,750,4,1746,1,5
"f",54,3,90,"D",2139,50,0,50,800,4,1826,1,5
"f",54,3,91,"D",1938,50,0,50,850,4,2079,1,5
"f",54,3,92,"D",2162,50,0,50,900,4,1926,1,5
"f",54,3,93,"D",1848,50,0,50,950,4,2169,1,5
"f",54,3,94,"D",4431,50,-250,-200,750,4,1937,1,5
"f",54,3,95,"D",2099,50,0,50,800,4,1949,1,5
"f",54,3,96,"D",1727,50,0,50,850,4,190,1,5
"f",54,3,97,"A",3502,100,-250,-150,700,4,2674,0,5
"f",54,3,98,"A",3008,100,-150,-50,650,4,2674,0,5
"f",54,3,99,"B",2785,100,0,100,750,4,2381,0,5
"f",54,3,100,"B",2313,100,0,100,850,4,2632,0,5
"m",21,4,1,"A",8973,100,0,100,2100,4,2779,0,1
"m",21,4,2,"C",4885,50,0,50,2150,3,1700,1,1
"m",21,4,3,"D",2788,50,0,50,2200,2,3531,1,1
"m",21,4,4,"B",2778,100,0,100,2300,3,5523,0,1
"m",21,4,5,"A",8937,100,0,100,2400,4,2820,0,1
"m",21,4,6,"C",2883,50,0,50,2450,4,3583,1,1
"m",21,4,7,"B",1897,100,0,100,2550,3,1388,0,1
"m",21,4,8,"A",26354,100,-150,-50,2500,3,1241,0,1
"m",21,4,9,"D",13542,50,0,50,2550,2,1792,1,1
"m",21,4,10,"D",3484,50,0,50,2600,3,1157,1,1
"m",21,4,11,"C",28254,50,-50,0,2600,3,1017,1,1
"m",21,4,12,"D",3556,50,0,50,2650,3,1363,1,1
"m",21,4,13,"A",12971,100,0,100,2750,2,1033,0,1
"m",21,4,14,"A",3895,100,-300,-200,2550,2,4326,0,1
"m",21,4,15,"D",32015,50,0,50,2600,4,1906,1,1
"m",21,4,16,"B",1096,100,0,100,2700,3,2198,0,1
"m",21,4,17,"B",1205,100,0,100,2800,3,956,0,1
"m",21,4,18,"B",1227,100,0,100,2900,3,1385,0,1
"m",21,4,19,"B",1380,100,0,100,3000,3,1470,0,1
"m",21,4,20,"B",3521,100,0,100,3100,3,1232,0,1
"m",21,4,21,"B",1096,100,0,100,3200,3,1430,0,2
"m",21,4,22,"B",1697,100,-1250,-1150,2050,3,1066,0,2
"m",21,4,23,"B",2028,100,0,100,2150,3,2956,0,2
"m",21,4,24,"B",9199,100,0,100,2250,2,1109,0,2
"m",21,4,25,"B",976,100,0,100,2350,2,1066,0,2
"m",21,4,26,"B",1195,100,0,100,2450,2,1235,0,2
"m",21,4,27,"B",1055,100,-1250,-1150,1300,2,1078,0,2
"m",21,4,28,"B",837,100,0,100,1400,2,818,0,2
"m",21,4,29,"B",3383,100,0,100,1500,2,1284,0,2
"m",21,4,30,"B",1037,100,0,100,1600,2,808,0,2
"m",21,4,31,"D",1869,50,0,50,1650,4,1413,1,2
"m",21,4,32,"D",1246,50,0,50,1700,4,2151,1,2
"m",21,4,33,"D",1006,50,0,50,1750,4,1539,1,2
"m",21,4,34,"D",1139,50,0,50,1800,4,1088,1,2
"m",21,4,35,"B",4461,100,0,100,1900,2,2050,0,2
"m",21,4,36,"C",4443,50,0,50,1950,3,1351,1,2
"m",21,4,37,"D",3598,50,-250,-200,1750,3,1825,1,2
"m",21,4,38,"B",1934,100,0,100,1850,2,1557,0,2
"m",21,4,39,"B",1967,100,0,100,1950,2,1060,0,2
"m",21,4,40,"C",2126,50,-50,0,1950,2,1281,1,2
